row,base,csw,size,hvac_fuel,fuel,hours,occupancy,heat_a,heat_b,heat_c,cool_a,cool_b,cool_c,cool_mult_no_cooling,building_type
33,Single,Double,Large,VAV,Natural Gas,8760,,1.0745531119272,0.0001011670958,-2.01E-09,9.501888482849,0.0059375221572,-4.19E-07,0.6643875707074,Office
34,Double,Single,Large,VAV,Natural Gas,2080,,0.0210814047191,0.0000412817383,-1.55E-09,1.5493838764825,0.0009156790468,-9.29E-08,0.6643875707074,Office
35,Double,Single,Large,VAV,Natural Gas,2912,,0.0494865359195,0.0000455628586,-1.03E-09,1.5594199852179,0.0020586147562,-2.05E-07,0.6643875707074,Office
36,Double,Single,Large,VAV,Natural Gas,8760,,0.5567001440176,0.0000310694295,-3.50E-10,2.211453250257,0.003671073438,-2.63E-07,0.6643875707074,Office
37,Single,N/A,Mid,Electric,N/A,2080,,55.18113166,-0.00283902,4.10E-07,0,0,0,0.6644,Office
38,Single,N/A,Mid,Electric,N/A,2912,,69.34188581,-0.00510247,6.60E-07,0,0,0,0.6643875707074,Office
39,Single,N/A,Mid,Electric,N/A,8760,,155.28825773,-0.01240227,1.42E-06,0,0,0,0.6643875707074,Office
40,Double,N/A,Mid,Electric,N/A,2080,,56.46872306,-0.00362881,3.80E-07,0,0,0,0.6644,Office
41,Double,N/A,Mid,Electric,N/A,2912,,66.12223103,-0.00509726,6.00E-07,0,0,0,0.6643875707074,Office
42,Double,N/A,Mid,Electric,N/A,8760,,132.81035158,-0.00742604,8.10E-07,0,0,0,0.6643875707074,Office
43,Single,N/A,Mid,Gas,N/A,2080,,59.31242497,-0.00243996,4.10E-07,0,0,0,0.6644,Office
44,Single,N/A,Mid,Gas,N/A,2912,,74.88235567,-0.00480321,1.11E-06,0,0,0,0.6643875707074,Office
45,Single,N/A,Mid,Gas,N/A,8760,,163.52028407,-0.00620672,9.80E-07,0,0,0,0.6643875707074,Office
46,Double,N/A,Mid,Gas,N/A,2080,,59.70132183,-0.00472653,4.70E-07,0,0,0,0.6644,Office
47,Double,N/A,Mid,Gas,N/A,2912,,70.94249856,-0.00635858,6.50E-07,0,0,0,0.6643875707074,Office
48,Double,N/A,Mid,Gas,N/A,8760,,139.88997587,-0.01048295,1.14E-06,0,0,0,0.6643875707074,Office
49,Single,N/A,Large,Electric,N/A,2080,,58.24146235,-0.00473003,7.10E-07,0,0,0,0.6643875707074,Office
50,Single,N/A,Large,Electric,N/A,2912,,90.299469,-0.00757844,1.08E-06,0,0,0,0.6643875707074,Office
51,Single,N/A,Large,Electric,N/A,8760,,151.39705717,-0.00880168,1.21E-06,0,0,0,0.6643875707074,Office
52,Double,N/A,Large,Electric,N/A,2080,,59.52958945,0.00588564,7.80E-07,0,0,0,0.6643875707074,Office
53,Double,N/A,Large,Electric,N/A,2912,,88.84281252,-0.00881891,1.16E-06,0,0,0,0.6643875707074,Office
54,Double,N/A,Large,Electric,N/A,8760,,143.14186848,-0.00961086,1.16E-06,0,0,0,0.6643875707074,Office
55,Single,N/A,Large,Gas,N/A,2080,,59.46115838,-0.00418817,6.00E-07,0,0,0,0.6643875707074,Office
56,Single,N/A,Large,Gas,N/A,2912,,93.5544803,-0.00666779,1.02E-06,0,0,0,0.6643875707074,Office
57,Single,N/A,Large,Gas,N/A,8760,,154.71483323,-0.0065439,1.04E-06,0,0,0,0.6643875707074,Office
58,Double,N/A,Large,Gas,N/A,2080,,61.09603883,-0.00489999,6.70E-07,0,0,0,0.6643875707074,Office
59,Double,N/A,Large,Gas,N/A,2912,,90.4449297,-0.0066078,9.20E-07,0,0,0,0.6643875707074,Office
60,Double,N/A,Large,Gas,N/A,8760,,151.34760657,-0.01011687,1.22E-06,0,0,0,0.6643875707074,Office
61,Single,Single,Small,PTAC,Electric,,33,0.2619527709999,0.001167215,7.07E-08,1.04158823989,0.00143588797,-7.43E-08,0,Hotel
62,Single,Single,Small,PTAC,Electric,,100,1.0478110839997,0.00351165,-2.20E-09,4.17863095956,0.00430766391,-2.23E-07,0,Hotel
