lookup_key,heating_kwh,cooling_kwh,gas_therms,baseline_eui
SingleDoubleLargeHotelFCUElectric100,0.5405253502,9.717284002649201,0,116.4980513732
DoubleSingleLargeHotelFCUElectric33,0.0359279297,3.2557349337296992,0,103.0964107479
DoubleSingleLargeHotelFCUElectric100,0.0777194513,4.0705081232641,0,109.3793758849
SingleSingleLargeHotelFCUNatural Gas33,0,4.318622609254,0.0038721565297,111.2991959466
SingleSingleLargeHotelFCUNatural Gas100,0,5.201604687586199,0.0048633395248,117.6789267713
SingleDoubleLargeHotelFCUNatural Gas33,0,8.0173984011754,0.002888467299,111.2991959466
SingleDoubleLargeHotelFCUNatural Gas100,0,9.717284002649201,0.0036630697578,117.6789267713
DoubleSingleLargeHotelFCUNatural Gas33,0,3.2557349337296992,0.0015323262017,104.1237084307
DoubleSingleLargeHotelFCUNatural Gas100,0,4.0705081232641,0.0033662736694,110.7391875699
SingleSinglePSFCUElectric,11.4771326908224,1.2036564770714,0,52.7062492795
SingleDoublePSFCUElectric,10.559363697266,2.1225178922873997,0,52.7062492795
DoubleSinglePSFCUElectric,5.976747732666199,1.0194481692923,0,49.3541656084
SingleSinglePSVAVElectric,15.217962558000002,5.0873132617,0,59.410619537100004
SingleDoublePSVAVElectric,15.0913858934,8.1155186062,0,59.410619537100004
DoubleSinglePSVAVElectric,11.030963639200001,4.1235925617,0,54.82199088200001
SingleSinglePSFCUNatural Gas,0,1.2036564770714,0.4895008452103,56.9136404368
SingleDoublePSFCUNatural Gas,0,2.1225178922873997,0.4503578973689,56.9136404368
DoubleSinglePSFCUNatural Gas,0,1.0194481692923,0.2549076277518,52.724564004
SingleSinglePSVAVNatural Gas,0,5.0873132617,0.6490453875897,64.983362841
SingleDoublePSVAVNatural Gas,0,8.1155186062,0.6436471791498001,64.983362841
DoubleSinglePSVAVNatural Gas,0,4.1235925617,0.4704693109854,59.5943481526
SingleSingleSSFCUElectric,12.4995929792,1.2873886282999998,0,74.5873104945
SingleDoubleSSFCUElectric,11.500752687226601,2.4130059845,0,74.5873104945
